name,textbook_id
Biochemistry,1
Immunology,1
Microbiology,1
Pathology,1
Pharmacology,1
Public Health Sciences,1
Cardiovascular,1
Endocrine,1
Gastrointestinal,1
Hematology and Oncology,1
"Musculoskeletal, Skin, and Connective Tissue",1
Neurology and Special Senses,1
Psychiatry,1
Renal,1
Reproductive,1
Respiratory,1
Basic Pharmacology,2
Behavioral Science,2
Biochemistry,2
Biostatistics/ Epidemiology,2
Cardiology,2
Cell Biology,2
Dermatology,2
Endocrinology,2
Gastroenterology,2
Genetics,2
Hematology,2
Immunology,2
Infectious Disease,2
Muskuloskeletal,2
Neurology,2
Pathology,2
Psychiatry,2
Pulmonary,2
Renal,2
Reproductive,2
"Growth Adaptations, Cellular Injury, and Cell Death",3
"Inflammation, Inflammatory Disorders, and Healing",3
Principles of Neoplasia,3
Hemostasis and Related Disorders,3
Red Blood Cell Disorders,3
White Blood Cell Disorders,3
Vascular Pathology,3
Cardiac Pathology,3
Respiratory Tract Pathology,3
Gastrointestinal Pathology,3
"Exocrine Pancreas, Gallbladder, and Liver Pathology",3
Kidney and Urinary Tract Pathology,3
Female Genital System and Gestational Pathology,3
Male Genital System Pathology,3
Endocrine Pathology,3
Breast Pathology,3
Central Nervous System Pathology,3
Musculoskeletal Pathology,3
Skin Pathology,3
Autonomic Drugs,4
Cardiovascular and Renal,4
Blood & Inflammation,4
Smooth Muscle,4
GI & Endocrine,4
Neuro/ Psych,4
Antimicrobials,4
Antineoplastics,4
Pharmacology Foundations,4
Bacteria,5
Fungi ,5
Viruses,5
Parasites,5
